date,kcals,steps,km
2017-05-02 00:00:00+00:00,,5332.0,4.01
2017-05-03 00:00:00+00:00,,9891.0,8.96
2017-05-04 00:00:00+00:00,,8248.0,7.82
2017-05-05 00:00:00+00:00,,3908.0,2.84
2017-05-06 00:00:00+00:00,,14372.0,12.17
2017-05-07 00:00:00+00:00,,4092.0,3.23
2017-05-08 00:00:00+00:00,,3169.0,2.67
2017-05-09 00:00:00+00:00,,3175.0,2.53
2017-05-10 00:00:00+00:00,,4989.0,3.49
2017-05-11 00:00:00+00:00,,5961.0,5.03
2017-05-12 00:00:00+00:00,,6448.0,5.01
2017-05-13 00:00:00+00:00,,3571.0,2.8
2017-05-14 00:00:00+00:00,,4518.0,13.22
2017-05-15 00:00:00+00:00,,545.91,0.43
2017-05-16 00:00:00+00:00,,5098.0,3.79
2017-05-17 00:00:00+00:00,,4600.0,3.67
2017-05-18 00:00:00+00:00,,6424.0,4.91
2017-05-19 00:00:00+00:00,,6213.0,4.49
2017-05-20 00:00:00+00:00,,25466.0,20.47
2017-05-21 00:00:00+00:00,,20567.0,17.92
2017-05-22 00:00:00+00:00,,9384.0,7.89
2017-05-23 00:00:00+00:00,,6527.0,5.27
2017-05-24 00:00:00+00:00,,4630.0,4.02
2017-05-25 00:00:00+00:00,,5381.0,4.19
2017-05-26 00:00:00+00:00,,2377.0,1.86
2017-05-27 00:00:00+00:00,,10186.0,8.05
2017-05-28 00:00:00+00:00,,11521.0,8.66
2017-05-29 00:00:00+00:00,,6634.0,4.17
2017-05-30 00:00:00+00:00,,3261.0,2.27
2017-05-31 00:00:00+00:00,,3702.0,2.78
2017-06-01 00:00:00+00:00,,4492.0,3.77
2017-06-02 00:00:00+00:00,,3215.0,2.64
2017-06-03 00:00:00+00:00,,1968.0,1.8
2017-06-04 00:00:00+00:00,,18835.0,14.42
2017-06-05 00:00:00+00:00,,2517.0,1.48
2017-06-06 00:00:00+00:00,,3694.0,2.68
2017-06-07 00:00:00+00:00,,2576.0,2.0
2017-06-08 00:00:00+00:00,,5495.0,4.72
2017-06-09 00:00:00+00:00,,10066.0,7.72
2017-06-10 00:00:00+00:00,,18865.0,12.34
2017-06-11 00:00:00+00:00,,12606.0,8.71
2017-06-12 00:00:00+00:00,,2738.0,1.98
2017-06-13 00:00:00+00:00,,4539.0,3.52
2017-06-14 00:00:00+00:00,,2765.0,2.09
2017-06-15 00:00:00+00:00,,5566.0,4.44
2017-06-16 00:00:00+00:00,,5166.0,4.29
2017-06-17 00:00:00+00:00,,3819.0,3.07
2017-06-18 00:00:00+00:00,,3848.0,2.51
2017-06-19 00:00:00+00:00,,1451.0,1.23
2017-06-20 00:00:00+00:00,,4844.0,3.97
2017-06-21 00:00:00+00:00,,4116.0,3.29
2017-06-22 00:00:00+00:00,,4225.0,3.23
2017-06-23 00:00:00+00:00,,11064.0,8.74
2017-06-24 00:00:00+00:00,,4331.0,3.17
